Series ID,Month,Month Name,Year,Month_Year,Value,Year-format
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2010,Jan 2010,63.83,2010-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2010,Feb 2010,63.79,2010-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2010,Mar 2010,64.57,2010-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2010,Apr 2010,64.69,2010-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2010,May 2010,65.14,2010-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2010,Jun 2010,65.11,2010-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2010,Jul 2010,64.83,2010-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2010,Aug 2010,64.96,2010-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2010,Sep 2010,65.0,2010-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2010,Oct 2010,65.54,2010-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2010,Nov 2010,65.54,2010-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2010,Dec 2010,65.57,2010-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2011,Jan 2011,65.74,2011-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2011,Feb 2011,65.8,2011-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2011,Mar 2011,65.72,2011-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2011,Apr 2011,65.74,2011-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2011,May 2011,65.74,2011-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2011,Jun 2011,65.77,2011-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2011,Jul 2011,65.77,2011-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2011,Aug 2011,65.73,2011-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2011,Sep 2011,65.75,2011-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2011,Oct 2011,65.75,2011-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2011,Nov 2011,65.75,2011-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2011,Dec 2011,65.8,2011-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2012,Jan 2012,65.7,2012-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2012,Feb 2012,65.72,2012-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2012,Mar 2012,65.83,2012-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2012,Apr 2012,65.9,2012-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2012,May 2012,66.1,2012-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2012,Jun 2012,66.1,2012-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2012,Jul 2012,66.73,2012-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2012,Aug 2012,66.73,2012-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2012,Sep 2012,66.9,2012-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2012,Oct 2012,66.75,2012-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2012,Nov 2012,66.78,2012-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2012,Dec 2012,66.78,2012-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2013,Jan 2013,66.65,2013-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2013,Feb 2013,66.58,2013-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2013,Mar 2013,66.75,2013-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2013,Apr 2013,66.7,2013-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2013,May 2013,66.7,2013-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2013,Jun 2013,66.74,2013-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2013,Jul 2013,66.74,2013-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2013,Aug 2013,66.74,2013-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2013,Sep 2013,66.65,2013-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2013,Oct 2013,66.65,2013-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2013,Nov 2013,66.59,2013-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2013,Dec 2013,66.55,2013-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2014,Jan 2014,66.6,2014-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2014,Feb 2014,66.62,2014-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2014,Mar 2014,66.63,2014-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2014,Apr 2014,66.59,2014-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2014,May 2014,66.81,2014-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2014,Jun 2014,66.81,2014-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2014,Jul 2014,66.78,2014-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2014,Aug 2014,66.78,2014-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2014,Sep 2014,67.07,2014-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2014,Oct 2014,67.07,2014-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2014,Nov 2014,67.07,2014-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2014,Dec 2014,67.07,2014-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2015,Jan 2015,67.21,2015-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2015,Feb 2015,67.34,2015-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2015,Mar 2015,67.29,2015-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2015,Apr 2015,67.3,2015-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2015,May 2015,67.3,2015-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2015,Jun 2015,67.3,2015-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2015,Jul 2015,67.3,2015-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2015,Aug 2015,67.3,2015-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2015,Sep 2015,67.35,2015-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2015,Oct 2015,67.36,2015-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2015,Nov 2015,67.42,2015-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2015,Dec 2015,67.42,2015-12-01
