Series ID,Month,Month Name,Year,Month_Year,Value,Year-format
ICP.M.BG.N.041000.4.INX,M11,Nov,2023,Nov 2023,130.03,2023-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2023,Dec 2023,130.86,2023-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2024,Jan 2024,132.94,2024-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2024,Feb 2024,133.29,2024-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2024,Mar 2024,133.72,2024-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2024,Apr 2024,133.89,2024-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2024,May 2024,134.11,2024-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2024,Jun 2024,135.68,2024-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2024,Jul 2024,136.63,2024-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2024,Aug 2024,136.78,2024-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2024,Sep 2024,137.19,2024-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2024,Oct 2024,137.35,2024-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2024,Nov 2024,137.49,2024-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2024,Dec 2024,137.49,2024-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2025,Jan 2025,142.33,2025-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2025,Feb 2025,142.86,2025-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2025,Mar 2025,144.11,2025-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2025,Apr 2025,145.75,2025-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2025,May 2025,145.74,2025-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2025,Jun 2025,146.87,2025-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2025,Jul 2025,149.45,2025-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2025,Aug 2025,152.07,2025-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2025,Sep 2025,152.3,2025-09-01
